,by,descendants,id,kids,score,time,title,type,url,text
26,przem8k,27.0,38899922,"[38921573, 38923689, 38923791, 38923175, 38921439, 38924324, 38923431, 38921593, 38923310, 38924415, 38923598, 38923452, 38923653, 38921273]",134,1704621421,Simple Lasts Longer,story,https://newsletter.pnote.eu/p/simple-lasts-longer,
27,zlingasdg,38.0,38923033,"[38924491, 38924811, 38925969, 38923902, 38926445, 38925826, 38923034]",55,1704781190,Picking the Widevine Locks: Acquiring and Using an L3 CDM,story,https://www.ismailzai.com/blog/picking-the-widevine-locks,
28,AlexeyBrin,28.0,38891286,"[38925595, 38924546, 38926532, 38923685, 38922893, 38923827]",54,1704548002,An Easy to Build Real Homemade Computer: Z80-MBC2,story,https://www.instructables.com/An-Easy-to-Build-Real-Homemade-Computer-Z80-MBC2/,
29,xingyzt,14.0,38906330,"[38925957, 38909902, 38908508, 38925288, 38907847, 38926145, 38908082]",39,1704670113,The two cultures of mathematics and biology (2014),story,https://liorpachter.wordpress.com/2014/12/30/the-two-cultures-of-mathematics-and-biology/,
30,vmoldo,26.0,38911245,"[38925493, 38923964, 38923405, 38925451, 38923517, 38923438, 38923307, 38923449]",45,1704718396,How to mod any lens for anamorphic bokeh,story,https://vmoldo.com/anamorfic-inserts/,
31,tosh,79.0,38912406,"[38913119, 38913501, 38915114, 38918649, 38913944, 38915675, 38914550]",129,1704724286,k on pdp11,story,https://ktye.github.io/pdp11/index.html,
32,eatonphil,33.0,38914764,"[38922471, 38921756, 38920843, 38922936, 38921602, 38922079, 38922882]",247,1704732776,An overview of distributed Postgres architectures,story,https://www.crunchydata.com/blog/an-overview-of-distributed-postgresql-architectures,
33,Sephr,23.0,38916266,"[38918706, 38919217, 38920951, 38919240]",27,1704739577,Unverified vanity URLs and interest tracking catalyze fraud online,story,https://eligrey.com/blog/adtech-catalyzing-fraud/,
34,scrambled,185.0,38905898,"[38908437, 38906424, 38926375, 38906773, 38906834, 38906170, 38909862, 38911428, 38906396, 38923078, 38911964, 38910363, 38908540, 38910129, 38912030, 38915364, 38906612, 38906429, 38907035, 38906784, 38911942, 38906857, 38906351, 38906915, 38907676, 38910971, 38909814, 38909076, 38906152, 38907819, 38906113]",407,1704666871,What does the cerebellum do?,story,https://sarahconstantin.substack.com/p/what-does-the-cerebellum-do-anyway,
35,mikece,0.0,38926276,,3,1704808997,DDoS threat report for 2023 Q4,story,https://blog.cloudflare.com/ddos-threat-report-2023-q4,
36,tomas789,58.0,38913425,"[38915336, 38926287, 38914351, 38914837, 38916927, 38920779, 38914859, 38915048, 38921938, 38922628, 38920308, 38917313, 38915045, 38916716, 38914824, 38915061, 38915138, 38914542]",438,1704728138,"Dive: A tool for exploring a Docker image, layer contents and more",story,https://github.com/wagoodman/dive,
37,georgehill,67.0,38919884,"[38920753, 38921324, 38924117, 38920856, 38920668, 38920688, 38921972, 38920695, 38921587, 38920681, 38920795]",176,1704756021,Turing Complete Transformers: Two Transformers Are More Powerful Than One,story,https://openreview.net/forum?id=MGWsPGogLH,
38,ignoramous,117.0,38921668,"[38922177, 38921800, 38922180, 38922564, 38921874, 38922800, 38923478, 38925067, 38921947, 38922155, 38923672, 38922042, 38921717, 38922778, 38921818, 38924041, 38923202]",309,1704768786,Mixtral 8x7B: A sparse Mixture of Experts language model,story,https://arxiv.org/abs/2401.04088,
39,brynet,127.0,38915759,"[38916535, 38915955, 38917454, 38917386, 38916240, 38919863, 38918353, 38919275, 38915808, 38917237, 38916075, 38917826, 38917117, 38917113]",301,1704737244,OpenBSD KDE Plasma Desktop,story,https://rsadowski.de/posts/2024-01-09-openbsd-kde/,
40,karpatic,9.0,38920942,"[38925897, 38925519, 38924531, 38925296, 38923573, 38923207, 38923899]",35,1704762760,"Yihui Xie, RMarkdown Creator, Laid Off from RStudio",story,https://yihui.org/en/2024/01/bye-rstudio/,
41,nomilk,160.0,38923969,"[38924560, 38924760, 38924666, 38924420, 38926566, 38925649, 38924545, 38925310, 38925004, 38925245, 38925233, 38925830, 38925085, 38925739, 38925475, 38924724, 38924899, 38925624, 38925141]",135,1704791933,"Heat pumps, more than you wanted to know (2023)",story,https://calv.info/heat-pumps,
42,birriel,144.0,38917749,"[38919771, 38920045, 38922153, 38918457, 38920791, 38921398, 38921999, 38920255, 38920499, 38919917, 38920138, 38918444, 38919855, 38919697]",227,1704746274,Cells across the body talk to each other about aging,story,https://www.quantamagazine.org/cells-across-the-body-talk-to-each-other-about-aging-20240108/,
43,thewarpaint,101.0,38921343,"[38922332, 38921705, 38921930, 38921617, 38922855, 38922698, 38922535, 38921648, 38922221, 38922222, 38922264, 38922274, 38922389, 38921852, 38921832, 38921710, 38923835, 38922066, 38923430, 38923419, 38922829, 38922185, 38922371, 38921606]",207,1704766292,Carta to exit secondary trading business,story,https://henrysward.medium.com/should-carta-facilitate-secondary-trading-c319e0c9f080,
44,maheshs,496.0,38912125,"[38920174, 38912617, 38921535, 38918205, 38912334, 38914079, 38912528, 38913086, 38912717, 38912434, 38922150, 38913444, 38913495, 38912736, 38915124, 38918766, 38913601, 38912951, 38912287, 38921746, 38918878, 38912403, 38913194, 38922565, 38919369, 38912130, 38918683, 38913778, 38919352, 38915520, 38913823, 38912495, 38912304, 38922685, 38921080, 38921727, 38913658, 38922301, 38912277, 38912300]",232,1704723081,IT employment grew by just 700 jobs in 2023,story,https://www.wsj.com/articles/it-employment-grew-by-just-700-jobs-in-2023-down-from-267-000-in-2022-adbd8a61,
45,francoismassot,44.0,38902042,"[38922545, 38921801, 38923654, 38905110, 38925393, 38922954, 38922726, 38921634, 38924532, 38923628, 38902524, 38903106]",120,1704641739,"Show HN: Quickwit – OSS Alternative to Elasticsearch, Splunk, Datadog",story,https://github.com/quickwit-oss/quickwit,"Hi folks, Quickwit cofounder here.<p>We started Quickwit 3 years ago with a POC, &quot;Searching the web for under $1000&#x2F;month&quot; (see HN discussions [0]), with the goal of making a robust OSS alternative to Elasticsearch &#x2F; Splunk &#x2F; Datadog.<p>We have reached a significant milestone with our latest release (0.7) [1], as we have witnessed users of the nightly version of Quickwit deploy clusters with hundreds of nodes, ingest hundreds of terabytes of data daily, and enjoy considerable cost savings.<p>To give you a concrete example, one company is ingesting hundreds of terabytes of logs daily and migrating from Elasticsearch to Quickwit. They divided their compute costs by 5x and storage costs by 2x while increasing retention from 3 to 30 days. They also increased their durability, accuracy with exactly-once semantics thanks to the native Kafka support, and elasticity.<p>The 0.7 release also brings better integrations with the Observability ecosystem: improvements of the Elasticsearch-compatible API and better support of OpenTelemetry standards, Grafana, and Jaeger.<p>Of course, we still have a lot of work to be a fully-fledged observability engine, and we would love to get some feedback or suggestions.<p>To give you a glance at our 2024 roadmap, we planned to focus on Kibana&#x2F;OpenDashboard integration, metrics support, and pipe-based query language.<p>[0] Searching the web for under $1000&#x2F;month: <a href=""https:&#x2F;&#x2F;news.ycombinator.com&#x2F;item?id=27074481"">https:&#x2F;&#x2F;news.ycombinator.com&#x2F;item?id=27074481</a><p>[1] Release blog post: <a href=""https:&#x2F;&#x2F;quickwit.io&#x2F;blog&#x2F;quickwit-0.7"" rel=""nofollow"">https:&#x2F;&#x2F;quickwit.io&#x2F;blog&#x2F;quickwit-0.7</a><p>[2] Open Source Repo: <a href=""https:&#x2F;&#x2F;github.com&#x2F;quickwit-oss&#x2F;quickwit"">https:&#x2F;&#x2F;github.com&#x2F;quickwit-oss&#x2F;quickwit</a><p>[3] Home Page: <a href=""https:&#x2F;&#x2F;quickwit.io"" rel=""nofollow"">https:&#x2F;&#x2F;quickwit.io</a>"
46,gone35,3.0,38897248,"[38922467, 38921075, 38923082, 38921851]",90,1704589131,The Tensor Network,story,https://tensornetwork.org,
47,artagnon,11.0,38901230,"[38921971, 38921181, 38925912, 38926493, 38921908, 38922078, 38922460, 38923303]",17,1704636070,Low-hanging fruit,story,https://artagnon.com/art/fruit,
48,isaacfrond,19.0,38923951,"[38925470, 38925340, 38926491, 38924053, 38925759, 38926529]",19,1704791766,OpenAI claims The New York Times tricked ChatGPT into copying its articles,story,https://www.theverge.com/2024/1/8/24030283/openai-nyt-lawsuit-fair-use-ai-copyright,
49,stncls,70.0,38916212,"[38917206, 38917301, 38916995, 38921093, 38919724, 38916935, 38923549, 38918856, 38918834, 38923688, 38918957]",140,1704739396,Solver Performance: 1989 vs. 2024,story,https://www.solvermax.com/blog/solver-performance-1989-vs-2024,
50,soap-,59.0,38915775,"[38916542, 38916152, 38916235, 38917883, 38924056, 38916070, 38916805, 38915853, 38917556, 38916103, 38919914, 38923162, 38920644, 38916306]",262,1704737310,Mario Maker 2 API,story,https://tgrcode.com/posts/mario_maker_2_api,
51,clouddrover,34.0,38923811,"[38925608, 38925284, 38925503, 38924611, 38923938, 38923988, 38926130, 38926017]",29,1704790086,Scientists discover 100 to 1000 times more plastics in bottled water,story,https://www.washingtonpost.com/climate-environment/2024/01/08/microplastics-nanoplastics-bottled-water-study/,
52,luu,12.0,38916694,"[38917896, 38920729, 38917343, 38919821]",41,1704741418,What is a standard error? [pdf],story,http://www.stat.columbia.edu/~gelman/research/published/standarderror.pdf,
53,xyzzy_plugh,76.0,38911740,"[38912107, 38913822, 38915620, 38914343, 38912147, 38913227, 38915790, 38913189, 38918552, 38916347, 38913909, 38913036, 38915152, 38914482, 38917345, 38921578, 38917333, 38912391, 38912314, 38912507]",249,1704721190,Why Aren't We Sieve-Ing?,story,https://brooker.co.za/blog/2023/12/15/sieve.html,
54,isaacfrond,5.0,38923995,"[38925295, 38926165]",17,1704792149,What I learned from using a Raspberry Pi 5 as my main computer for two weeks,story,https://arstechnica.com/gadgets/2024/01/what-i-learned-from-using-a-raspberry-pi-5-as-my-main-computer-for-two-weeks/,
55,sph,8.0,38917307,"[38918791, 38923966, 38923545, 38917682, 38923553, 38920111]",186,1704744168,How does one patch KDE2 under FreeBSD? (2012),story,https://knowyourmeme.com/memes/how-does-one-patch-kde2-under-freebsd,
56,cdme,3.0,38921375,"[38926562, 38921559]",14,1704766528,I found the music I love on the internet,story,https://coryd.dev/posts/2024/i-found-the-music-i-love-on-the-internet/,
57,frereubu,7.0,38923219,"[38926663, 38925304, 38923220, 38926078, 38924891]",27,1704783403,Discovery of loose bolts threatens wider 737 Max crisis for Boeing,story,https://www.ft.com/content/8d2c6102-6f5e-470b-a851-1a26b2985b8a,
58,sohkamyung,5.0,38900044,"[38920905, 38919303, 38919164, 38920714]",24,1704623207,1899 Peruvian dinero: the mystery of a coin that wasn't officially minted,story,https://heritagesciencejournal.springeropen.com/articles/10.1186/s40494-023-01092-2,
59,thunderbong,59.0,38911088,"[38915786, 38915445, 38913719, 38917379, 38913652, 38915195, 38913010, 38915097, 38924682, 38913715, 38913710, 38915032, 38920721, 38912463, 38912730, 38916206, 38913303, 38915650, 38914282, 38914059, 38912848, 38913406, 38913899]",206,1704717364,LinguaCafe: Self-hosted software for language learners to read foreign languages,story,https://simjanos-dev.github.io/LinguaCafeHome/,
60,iamwil,18.0,38916647,"[38917534, 38917636, 38918745, 38916856]",137,1704741212,Trade-offs between Different CRDTs,story,https://interjectedfuture.com/trade-offs-between-different-crdts/,
61,axiomdata316,13.0,38918569,"[38921107, 38920216, 38919008, 38918924, 38920796, 38919620, 38918767]",29,1704749997,A Rail Cart for the Space Conscious Passenger (2022),story,https://hackaday.com/2022/10/08/a-rail-cart-for-the-space-conscious-passenger/,
62,giis,27.0,38907821,"[38910694, 38909508, 38910060, 38909214, 38910656, 38908961, 38916433, 38910736, 38911349, 38911337]",346,1704683633,Visualizing Ext4,story,https://buredoranna.github.io/linux/ext4/2020/01/09/ext4-viz.html,
63,findhorn,101.0,38905891,"[38906504, 38906971, 38906616, 38907028, 38925768, 38906948, 38920915, 38907104, 38920961, 38922103, 38906622, 38907189, 38906382]",43,1704666798,Cycling Doping Fallacies,story,https://thenewleafjournal.com/cycling-doping-fallacies/,
64,oshams,109.0,38915999,"[38917199, 38924270, 38917458, 38919432, 38917914, 38916785, 38923859, 38918220, 38924382, 38921013, 38921493, 38920891, 38918362, 38916416, 38916878, 38916703, 38917329, 38920170, 38920388, 38916984, 38917583, 38918445, 38917619, 38917594, 38920832, 38916887, 38924360, 38918478, 38916795, 38923231, 38917116, 38917153, 38916197, 38917198, 38916560, 38923467, 38917915, 38919793, 38923833, 38919612]",169,1704738376,Show HN: Auto Wiki – Turn your codebase into a Wiki,story,https://wiki.mutable.ai,"Hi HN! I’m Omar from Mutable.ai. We want to introduce Auto Wiki (<a href=""https:&#x2F;&#x2F;wiki.mutable.ai&#x2F;"">https:&#x2F;&#x2F;wiki.mutable.ai&#x2F;</a>), which lets you generate a Wiki-style website to document your codebase. Citations link to code, with clickable references to each line of code being discussed. Here are some examples of popular projects:<p>React: <a href=""https:&#x2F;&#x2F;wiki.mutable.ai&#x2F;facebook&#x2F;react"">https:&#x2F;&#x2F;wiki.mutable.ai&#x2F;facebook&#x2F;react</a><p>Ollama <a href=""https:&#x2F;&#x2F;wiki.mutable.ai&#x2F;jmorganca&#x2F;ollama"">https:&#x2F;&#x2F;wiki.mutable.ai&#x2F;jmorganca&#x2F;ollama</a><p>D3: <a href=""https:&#x2F;&#x2F;wiki.mutable.ai&#x2F;d3&#x2F;d3"">https:&#x2F;&#x2F;wiki.mutable.ai&#x2F;d3&#x2F;d3</a><p>Terraform: <a href=""https:&#x2F;&#x2F;wiki.mutable.ai&#x2F;hashicorp&#x2F;terraform"">https:&#x2F;&#x2F;wiki.mutable.ai&#x2F;hashicorp&#x2F;terraform</a><p>Bitcoin: <a href=""https:&#x2F;&#x2F;wiki.mutable.ai&#x2F;bitcoin&#x2F;bitcoin"">https:&#x2F;&#x2F;wiki.mutable.ai&#x2F;bitcoin&#x2F;bitcoin</a><p>Mastodon: <a href=""https:&#x2F;&#x2F;wiki.mutable.ai&#x2F;mastodon&#x2F;mastodon"">https:&#x2F;&#x2F;wiki.mutable.ai&#x2F;mastodon&#x2F;mastodon</a><p>Auto Wiki makes it easy to see at a high level what a codebase is doing and how the work is divided. In some cases we’ve identified entire obsolete sections of codebases by seeing a section for code that was no longer important. Auto Wiki relies on our citations system which cuts back on hallucinations. The citations link to a precise reference or definition which means the wiki generation is grounded on the basis of the code being cited rather than free form generation.<p>We’ve run Auto Wiki on the most popular 1,000 repos on GitHub. If you want us to generate a wiki of a public repo for you, just comment in this thread! The wikis take time to generate as we are still ramping up our capacity, but I’ll reply that we’ve launched the process and then come back with a link to your wiki when it’s ready.<p>For private repos, you can use our app (<a href=""https:&#x2F;&#x2F;app.mutable.ai"">https:&#x2F;&#x2F;app.mutable.ai</a>) to generate wikis. We also offer private deployments with our own model for enterprise customers; you can ping us at info@mutable.ai. Anyone that already has access to a repo through GitHub will be able to view the wiki, only the person generating the wikis needs to pay to create them. Pricing starts at $4 and ramps up by $2 increments depending on how large your repo is.<p>In an upcoming version of Auto Wiki, we’ll include other sources of information relevant to your code and generate architectural diagrams.<p>Please check out Auto Wiki and let us know your thoughts! Thank you!"
65,ksec,184.0,38899183,"[38909646, 38910052, 38914977, 38909972, 38911509, 38910189, 38915596, 38909990, 38909954, 38910746, 38916543, 38909905, 38916060, 38912882, 38909607, 38909895, 38909657, 38917954, 38911735, 38910411, 38915387, 38910080, 38911047, 38915023, 38911052, 38909523, 38918254, 38918044, 38909749, 38913201, 38916934, 38910341, 38912649, 38915423, 38910987, 38909644, 38910869, 38909518, 38915394, 38909613, 38909676, 38910602, 38909660, 38909573, 38909585, 38909845, 38909580]",266,1704611131,What has a 1 in a million chance? (2010),story,https://www.stat.berkeley.edu/~aldous/Real-World/million.html,
66,ryandotsmith,13.0,38919862,"[38921436, 38921770, 38922919, 38923796, 38921896, 38921410, 38921170]",76,1704755904,OpenBSD Release Songs,story,https://www.openbsd.org/lyrics.html,
67,bitterblotter,106.0,38906989,"[38908039, 38910525, 38909221, 38907362, 38910096, 38918803, 38917037, 38908653, 38908490, 38909167, 38909978, 38908786, 38907987, 38911691, 38907591, 38910018, 38907881, 38925570]",461,1704675789,Show HN: I made a HTMX Playground 100% in the browser,story,https://lassebomh.github.io/htmx-playground/,"I recently dug up an old project in an attempt to improve on it. It&#x27;s a code sandbox for playing around with HTMX in the browser, that runs a mock server within the sandbox iframe. The server &quot;framework&quot; is loosely based on Django, so if you&#x27;re familiar with Django, you&#x27;ll immediately understand what&#x27;s going on.<p>I recommend clicking through the examples.<p>Github repo: <a href=""https:&#x2F;&#x2F;github.com&#x2F;lassebomh&#x2F;htmx-playground"">https:&#x2F;&#x2F;github.com&#x2F;lassebomh&#x2F;htmx-playground</a><p>Probably my favorite part is the lack of HTMX specific code. It&#x27;s designed to mimic the client and server, but really nothing else. In principle, this means that it is agnostic to whatever frontend framework is being used.<p>Known problems: Limited mobile support, Ace Editor (should just be Monaco) and lack of proper error outputs.<p>Feel free to give feedback, suggestions or questions.<p>I learned a lot when making it, and I hope you&#x27;ll something about HTMX! Happy tinkering."
68,mandarwagh,2.0,38924413,[38924414],7,1704795620,Apple announces when the Vision Pro will go on sale,story,https://www.mercurynews.com/2024/01/08/apple-announces-when-the-vision-pro-will-go-on-sale/,
69,harrisonlo,250.0,38901504,"[38904107, 38902007, 38905299, 38904609, 38902903, 38902217, 38902341, 38905064, 38901992, 38902315, 38908196, 38901989, 38902853, 38905927, 38902114, 38905894, 38902694, 38902352, 38904416, 38902259, 38902205, 38901826, 38903674, 38904296, 38904417, 38907774, 38902340, 38904654, 38903442, 38902584, 38901990, 38905784, 38902154, 38903214, 38910640, 38903078, 38902236, 38918054, 38905629, 38906747, 38909464, 38905605, 38902599, 38905873, 38908810, 38920823, 38908110, 38903047, 38903905, 38911060, 38905012, 38912155, 38907208, 38908151, 38918698, 38905327, 38904336, 38906373, 38906548, 38911164, 38907732, 38903147, 38902617, 38904310, 38902095, 38904118, 38905230, 38902141, 38902579, 38906255, 38903971, 38905725, 38906745, 38909095, 38902325, 38911952, 38903787, 38905117, 38904558, 38902638, 38902046, 38904573, 38902960, 38906794, 38901931, 38904845, 38902906, 38905415, 38902096, 38903807, 38902692, 38902976, 38902103, 38902640, 38906349, 38903289, 38903280, 38902011, 38909696, 38902108, 38906099, 38904362, 38910351, 38909561, 38908732, 38905874, 38902305, 38904635, 38904132, 38904128, 38903361, 38902285, 38905027, 38904981, 38905294, 38902099]",790,1704638086,"Show HN: I made an app that consolidated 18 apps (doc, sheet, form, site, chat…)",story,https://nino.app,"Nino is a radical approach to solve the app chaos problem for today&#x27;s knowledge worker. I believe there are still too many tools; even using them becomes work in itself. I&#x27;m building all these apps from scratch in one place, using the same database and UI, with the flexibility to eventually support the majority of work from one &quot;superapp.&quot;<p>Currently there are 18 apps (called &quot;modules&quot;) on Nino:<p>- Database types: Sheet, Form, Calendar, Gallery, Board, Todo, List<p>- Composition types: Doc, Slide, Drive, Notebook, Canvas, Grid, Blog, Site<p>- Communication types: Channel, Chat, Meet<p>I want to improve these modules and build more. Your feedback is important!<p>FAQ: How is it different from Google Workspace, Microsoft 365, or startups like Notion and Clickup?<p>A: I <i>think</i> Nino has a better foundation to (1) consolidate a lot more apps than they currently do, (2) drastically improve speed with offline architecture, and (3) offer unmatched privacy and security with end-to-end encryption (coming soon)<p>Let me expand on these points:<p>1. Consolidation<p>In Nino, pages and blocks are interoperable with each other. Google and Microsoft still have mostly isolated apps. Nino is one (super)app that supports 18 modules, saving you time from switching and integrating between different providers.<p>2. Offline mode<p>This is actually more complex than it seems, but I ultimately decided it&#x27;s worth it, not only for people who need to work without internet, but also for everyone else who want instant page load. Everything is saved locally by default.<p>3. End-to-end encryption (E2EE)<p>This is just a preview and not open to public yet, but is something I have been building alongside since day 1. In fact, it&#x27;s likely not architecturally possible for existing products to add later on. Nino is built to offer both E2EE and cloud features (backup, search, collaboration).<p>One more thing: pages on Nino are also publishable! There are blog and site modules, but you can also publish other modules (i.e. sheet, board, canvas, etc.) on your custom domain or on a free nino.page subdomain.<p>Give it a try and let me know how it can improve. I want to hear from you."
